Complexity,Loss,Equation
1,91172.64,"829.21246"
3,49863.14,"x0 * 2917.488"
4,42053.285,"exp(x0) * 652.07465"
5,18797.602,"(x0 + 0.19172493) * 1858.9423"
6,17940.816,"sin(x0 + 0.168638) * 2042.2192"
7,17372.324,"sin(sin(x0 + 0.15169412)) * 2196.6702"
8,15230.349,"(sin(x0 * 3.2432737) + 0.2925779) * 872.59656"
10,15007.648,"(sin(x0 * (x0 + 3.006651)) + 0.312207) * 853.45825"
